BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,CAPACITY,STNO,Address,Location,Lat,Long,geometry,neighborhood
"HIGHLAND TAP OF BOSTON, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,103,2128,  Washington ST,"(0.0, 0.0)",42.2620157,-71.15640570000001,POINT (-71.15640570000001 42.2620157),West Roxbury
"ALOFT LOUNGE, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,0,401, D St,"(0.0, 0.0)",42.343647,-71.04463914794331,POINT (-71.04463914794331 42.343647),South Boston Waterfront
"AMERICAN MULTI-CINEMA, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,4498,175,  Tremont ST,"(42.35315, -71.06403)",42.35344325,-71.06393798116154,POINT (-71.06393798116154 42.35344325),Downtown
"MARKETPLACE SALOON, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,92,294, Faneuil Hall Marketplace ,"(42.360036, -71.056253)",42.36005485,-71.05460485041264,POINT (-71.05460485041264 42.36005485),Downtown
ANCHOVIES ACQUISITION LIMITED PARTNERSHIP,11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,64,433,  Columbus AV,"(42.344027, -71.077869)",42.34385084615385,-71.07746903846153,POINT (-71.07746903846153 42.34385084615385),South End
"ANGELA'S CAFE GROUP, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,19,131,  Lexington ST,"(42.37853, -71.035)",42.378556,-71.035023,POINT (-71.035023 42.378556),East Boston
"ANGELA'S CAFE II, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,60,1012,  Bennington ST,"(42.387115, -71.006309)",42.386971,-71.006249,POINT (-71.006249 42.386971),East Boston
"ANH HONG RESTAURANT, LLC",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,95,291,  Adams ST,"(42.299183, -71.05818)",42.299158,-71.058074,POINT (-71.058074 42.299158),Dorchester
"FHM HOSPITALITY, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,336,100, Faneuil Hall Marketplace ,"(0.0, 0.0)",42.36005485,-71.05460485041264,POINT (-71.05460485041264 42.36005485),Downtown
"ANTHONY'S PIER FOUR, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,1076,140,  Northern AV,"(42.35338, -71.04149)",42.35024127629971,-71.04252154541753,POINT (-71.04252154541753 42.35024127629971),South Boston Waterfront
"ANTICO FORNO, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,98,93,  Salem ST,"(0.0, 0.0)",42.36373335638852,-71.05563287832193,POINT (-71.05563287832193 42.36373335638852),North End
