,BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,LICCATDESC,CAPACITY,STNO,Address,Location,5,Final_Lat,Final_Long,geometry,neighborhood,ltype
418,"HOME RUN CAFE, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,88,1269.0,  Massachusetts AV,"(42.32146, -71.06264)","-71.064285,42.32365",42.32146,-71.06264,POINT (-71.06264 42.32146),Dorchester,Malt Wine Liq.
419,"Hong Kong Eatery, Inc.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,60,79.0,  Harrison AV,"(42.35101, -71.06162)","-71.06134,42.35114",42.35101,-71.06162,POINT (-71.06162 42.35101),Chinatown,Malt Wine
420,"HOT POT BUFFET, INC.",11/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,288,70.0,  Beach ST,"(42.351353, -71.059891)","-71.06013,42.351295",42.351353,-71.059891,POINT (-71.05989099999999 42.351353),Chinatown,Malt Wine
421,"SAGE CLIENT 415, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,500.0,  Commonwealth AV,"(42.348521, -71.095099)","-71.09507,42.34879",42.348521,-71.095099,POINT (-71.095099 42.348521),Fenway,All Alc.
422,"LANSDOWNE BOSTON RESTAURANT, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,2834,15.0,  Lansdowne  ,"(0.0, 0.0)","-71.09523,42.34717",42.34717,-71.09523,POINT (-71.09523 42.34717),Fenway,All Alc.
423,THAILAND INTERNATIONAL CORPORATION,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,54,542.0,  Columbus AV,"(42.3414, -71.08034)","-71.080475,42.34154",42.3414,-71.08034,POINT (-71.08034000000001 42.3414),South End,Malt Wine
424,HOUSE OF SIAM INC.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,30,,  Tremont ST,"(42.342912, -71.072994)",,42.342912,-71.072994,POINT (-71.07299399999999 42.342912),South End,Malt Wine
425,"HIGH STREET RESTAURANT GROUP, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,540,184.0,  High ST,"(42.35668, -71.05257)","-71.05231,42.35656",42.35668,-71.05257,POINT (-71.05257 42.35668),Downtown,All Alc.
426,"BALLARIN, INC..",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,49,,  Charles ST,"(0.0, 0.0)","-71.06942,42.35626",42.35626,-71.06942,POINT (-71.06941999999999 42.35626),Beacon Hill,All Alc.
427,"FRIAR VENTURES, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,699,150.0,  Canal ST,"(42.3648, -71.0608)","-71.060814,42.365147",42.3648,-71.0608,POINT (-71.0608 42.3648),West End,All Alc.
428,"LASALLE HOTEL LESSEE, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,101.0,  Harborside DR,"(42.359198, -71.027191)",,42.359198,-71.027191,POINT (-71.027191 42.359198),East Boston,All Alc.
429,"HSB, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,395,498.0, Commonwealth Av,"(0.0, 0.0)","-71.0948,42.348797",42.348797,-71.0948,POINT (-71.09480000000001 42.348797),Fenway,All Alc.
430,CHSP TRS BOSTON II LLC,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,1.0, Avenue De Lafayette ,"(42.353254, -71.061258)",,42.353254,-71.061258,POINT (-71.061258 42.353254),Downtown,All Alc.
431,D & G BROTHERS LLC,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,76,,  Westland AV,"(42.343204, -71.086749)","-71.08588,42.343334",42.343204,-71.086749,POINT (-71.086749 42.343204),Fenway,Malt Wine
432,"PAGA, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,GOPAL,GOP All Alc.,481,, Warrenton St,"(0.0, 0.0)","-71.06594,42.349895",42.349895,-71.06594,POINT (-71.06594 42.349895),Downtown,All Alc.
433,ANTHONY OLIVIERO & LUIGI SODANO,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,80,257.0,  North ST,"(42.363662, -71.051888)","-71.05208,42.363697",42.363662,-71.051888,POINT (-71.05188800000001 42.363662),North End,Malt Wine
434,"IL PANINO, INC.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,92,11.0, Parmenter St,"(0.0, 0.0)","-71.054886,42.363827",42.363827,-71.054886,POINT (-71.054886 42.363827),North End,Malt Wine Liq.
435,"Boston's Best Seafood and BBQ,LLC",03/03/2014 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWLR,CV7 Malt Wine Liq. Restrict.,24,268.0, Centre St,"(0.0, 0.0)","-71.10112,42.32284",42.32284,-71.10112,POINT (-71.10111999999999 42.32284),Jamaica Plain,Malt Wine Liq. Restrict.
436,GAGAN CORPORATION,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,58,484.0,  Commonwealth AV,"(42.34854, -71.09422)","-71.09444,42.34881",42.34854,-71.09422,POINT (-71.09422000000001 42.34854),Fenway,Malt Wine
437,"INTERCONTINENTAL HOTELS GROUP RESOURCES, INC.",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,500.0,  Atlantic AV,"(42.3541, -71.05228)","-71.05256,42.35416",42.3541,-71.05228,POINT (-71.05228 42.3541),Downtown,All Alc.
438,"INTERMISSION TAVERN, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,64,228.0,  Tremont ST,"(42.351346, -71.064584)","-71.06485,42.351288",42.351346,-71.064584,POINT (-71.064584 42.351346),Downtown,All Alc.
439,INTERNAL MATTER LLC,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,45,35.0,  Channel Center ST,"(42.346397, -71.050561)","-71.050865,42.34639",42.346397,-71.050561,POINT (-71.050561 42.346397),South Boston Waterfront,Malt Wine
440,IRASHAI SUSHI AND TERIYAKI INC.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,45,8.0, Kneeland St,"(42.351008, -71.062428)","-71.062645,42.35088",42.351008,-71.062428,POINT (-71.062428 42.351008),Chinatown,Malt Wine
441,"IRISH VILLAGE, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,120,224.0,  Market ST,"(0.0, 0.0)","-71.149864,42.35493",42.35493,-71.149864,POINT (-71.14986399999999 42.35493),Brighton,All Alc.
442,"MCLAUGHLIN RESTAURANT, INC.",12/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,85,25.0,  Park ST,"(42.3726, -71.06104)","-71.06101,42.372917",42.3726,-71.06104,POINT (-71.06104000000001 42.3726),Charlestown,All Alc.
443,"ISLAND PRIDE RESTAURANT AND FUNCTION HALL, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,GOPMWL,GOP Malt Wine Liq.,168,986.0, Blue Hill Av,"(0.0, 0.0)","-71.08936,42.290222",42.290222,-71.08936,POINT (-71.08936 42.290222),Dorchester,Malt Wine Liq.
444,"ITADAKI, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,217,267.0,  Newbury ST,"(0.0, 0.0)","-71.083496,42.349346",42.349346,-71.083496,POINT (-71.083496 42.349346),Back Bay,All Alc.
445,JONATHAN B. HARKER,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,30,336.0,  Sumner ST,"(42.367286, -71.035739)","-71.03577,42.367146",42.367286,-71.035739,POINT (-71.03573900000001 42.367286),East Boston,Malt Wine Liq.
446,CARLOS GROUP LLC,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,87,1414.0,  Commonwealth AV,"(42.348527, -71.139106)","-71.139786,42.348545",42.348527,-71.139106,POINT (-71.139106 42.348527),Allston,Malt Wine
