BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,LICCATDESC,CAPACITY,STNO,Address,Location,Lat,Long
S&W OF BOSTON LLC,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,434,101,  Arlington ST,"(42.34972, -71.070009)",42.350007,-71.06996
"74 LTD, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,44,108,  Newbury ST,"(42.351223, -71.075671)",42.3487853,-71.0855293
"IWJ RESTAURANT GROUP, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,199,99,  High ST,"(42.354245, -71.05484)",42.35416995,-71.054716365
"C & S TAVERN, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,40,380,  Warren ST,"(42.317986, -71.081739)",42.317946,-71.081837
"AMARU'S VILLA, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,147,750,  Adams ST,"(42.28397, -71.055271)",42.284131,-71.05538383333334
NEWBURY FINE DINING LIMITED PARTNERSHIP,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,232,327,  Newbury ST,"(42.348792, -71.086271)",42.348741,-71.0862086
TONELLI INCORPORATED,11/07/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,78,388,  Centre ST,"(42.32173, -71.10964)",42.295065,-71.057081
SORELLINA LLC,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,160,1, Huntington Av,"(42.348762, -71.077999)",42.3487095,-71.0783774
SOUL FIRE LLC,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,93,178,  Harvard AV,"(42.35116, -71.13119)",42.26028002040816,-71.12284571428572
"KUPKA, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWR,CV7 Malt Wine Restrict.,34,737,  Huntington AV,"(42.334069, -71.105529)",42.334050561911575,-71.10531866451045
BUTTERY CORPORATION,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7ALR,CV7 All Alc. Restrict.,108,314,  Shawmut AV,"(42.34209, -71.07029)",42.342084400000005,-71.07035745000002
"SOUTH DINER, LLP",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWR,CV7 Malt Wine Restrict.,39,178,  Kneeland ST,"(42.349893, -71.057819)",42.34986615,-71.05774915
"V-LOUNGE, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,250,150,  Kneeland ST,"(42.349977, -71.05817)",42.3499328,-71.0582458
SPRING STREET CAFÉ CORP,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,48,320,  Spring ST,"(42.27171, -71.17211)",42.272141636363635,-71.17178477272728
"South End Partners, Inc.",03/12/2015 12:00:00 AM,12/31/2016 12:00:00 AM,CV7ALR,CV7 All Alc. Restrict.,256,569,  Columbus AV,"(42.34099, -71.08164)",42.3409201,-71.0816412
"TRAFFIC RESTAURANT, LLC",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,198,1525,  Washington ST,"(42.339878, -71.07261)",42.2620157,-71.1564057
"STEPHANIE'S IN SOUTHIE, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,153,11,W Broadway ,"(42.34248, -71.05686)",42.3425067,-71.0568254
"FOHENAGH, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,84,60,  State ST,"(42.35927, -71.05643)",42.35922935,-71.05642886016267
"ORIGINAL STOCKYARD, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,455,135,  Market ST,"(42.35778, -71.14858)",42.3577196,-71.148467
"DONNA TEMPLE, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,176,48,  Temple PL,"(42.355214, -71.061622)",42.3551443,-71.0616993
"ASILLEM, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,46,182,  Western AV,"(42.362961, -71.129376)",42.3629569,-71.1370521
"NICOMAR, INC.",11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,54,379,  Hanover ST,"(42.364994, -71.053067)",42.3649606,-71.05301394237114
"BOSTON CULINARY GROUP, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,38000,111,  Waldemar AV,"(42.39443, -71.00029)",42.39266437260131,-71.00395400931806
"SULLIVAN'S PUB OF CHARLESTOWN, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,65,85,  Main ST,"(42.373922, -71.062762)",42.38302028571429,-71.07154328571428
"SULLIVAN'S RESTAURANT, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,88,56,  Union ST,"(42.373526, -71.066473)",42.34526565,-71.14988109999999
"SSJHP, INC.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,58,84,  Peterborough ST,"(42.343135, -71.098841)",42.34323338770112,-71.098747885334
THOUSAND CHEF FOODS CORP.,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,60,45,  Gainsborough ST,"(42.341989, -71.087081)",42.34195,-71.087115
"TACO MEX, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,30,65,  Maverick SQ,"(42.36968, -71.03866)",42.36966092307692,-71.03946234615384
3W&Z CORP.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,48,34,  Oxford ST,"(42.351466, -71.060209)",42.35217936363637,-71.06044318181819
"IHMS (BOSTON), LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,15,  Arlington ST,"(42.35283, -71.0716)",42.35282695,-71.07158468201447
"GOLDEN SUN, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,49,1277,  River ST,"(42.255952, -71.124289)",42.25586776923077,-71.1243803076923
"FIRST ATLAS LIONS, LLC",11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7ALR,CV7 All Alc. Restrict.,200,73,  Main ST,"(42.373887, -71.062647)",42.383046244897955,-71.07154781632653
