,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,Lat,Long
360,1298760,NEW YORK,OP,252,900167,UP THAI CORP,TUNG THONG 181,812 W 181ST ST ,STORE 1,NEW YORK,NY,10033,12/12/2018,12/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",,"Recorded Music Permitted, No Dancing & Licensed Sidewalk Cafe Within Property Line Permitted",,40.8510042,-73.9391006
363,1260885,NEW YORK,L,222,899035,EAST VILLAGE WINE CORP,ALPHABET CITY WINE CO,100 AVENUE C,,NEW YORK,NY,10009,04/11/2018,06/30/2021,LIQUOR STORE SELLING LIQUOR AND WINE,,,,40.723815,-73.9788622
374,1298997,NEW YORK,OP,252,905363,TJW FAMILY FOODS LLC,JOJO'S PHILOSOPHY,169 BLEECKER ST ,,NEW YORK,NY,10012,04/23/2019,04/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER",FB Stips:Mon-Sun 12pm-2am; Windows closed after 9pm,"FB Stips:Backgr music only;No DJ's, No promoters;3 TV's w/no sound, 4 TV's w/programs",,40.7288472,-74.0002307
375,1313114,NEW YORK,OP,252,888463,FLAME AMBER INC,FLAME,381 3RD AVE,,NEW YORK,NY,10016,01/30/2019,12/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",CB6 Stips:11AM to 11 PM Mon - Thurs & Sun; 11 AM to 12 AM Fri - Sat,Recorded Music Permitted and No Dancing,,40.7415111,-73.9809588
378,1309120,NEW YORK,CD,304,926296,ORIGINAL SIN CORPORATION,,138 W 25TH ST,#1008,NEW YORK,NY,10001,05/05/2020,05/31/2021,CIDER PRODUCER,,,,40.7447503,-73.993589
381,1316728,NEW YORK,HL,242,889039,"ERY NORTH TOWER RHC TENANT LLC, EQX HOTEL MGMT LLC",& 210 THE G LLC AS MGR; EQUINOX HOTEL HUDSON YARDS,35 HUDSON YARDS,FL 15-29 AKA 500 W 33RD ST,NEW YORK,NY,10001,06/27/2019,05/31/2021,HOTEL SERVING BEER WINE CIDER AND LIQUOR,CB#4 stips: Licensed Terrace close at 2am daily,,,40.7545731,-74.00227386734215
397,1280880,NEW YORK,RW,341,835793,EIGHT ORANGES INC,THE BAO,13 ST MARKS PL,,NEW YORK,NY,10003,10/30/2018,11/30/2020,RESTAURANT SERVING BEER CIDER & WINE ,,,,40.7292786,-73.9889945
401,1224539,NEW YORK,DX,126,900681,CVS ALBANY LLC,CVS/PHARMACY #2427,215 PARK AVE SOUTH,,NEW YORK,NY,10003,05/31/2018,06/30/2021,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.7369233,-73.9890819
408,1297427,NEW YORK,HL,242,888683,NY BROADWAY HOTEL OWNER LLC & HIGHGATE HOTELS LP,ARTHOUSE HOTEL NEW YORK CITY,2170 2178 BROADWAY,,NEW YORK,NY,10024,03/25/2019,10/31/2020,"HOTEL SERVING LIQUOR, WINE, BEER & CIDER.",RECORDED & LIVE MUSIC (ACOUSTIC GUITAR OR JAZZ),NO DANCING. LICENSED SIDEWALK CAFE,,42.656537,-73.748564
410,1311309,NEW YORK,RW,341,830511,BARUCH CHICKEN LLC,CHIRPING CHICKEN,350 3RD AVE ,,NEW YORK,NY,10010,08/27/2018,07/31/2020,RESTAURANT SERVING BEER CIDER AND WINE,,Recorded music,,40.6592474,-74.0046748
412,1306627,NEW YORK,OP,252,888760,VERY NICE ENTERPRISES LLC,TENOR,428 LAFAYETTE ST,(GROUND FLOOR),NEW YORK,NY,10003,04/18/2019,03/31/2021,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,CB2 Stips:  Su-We 8am-1am; Th-Sa 8am-2am,"CB2 Stips: No TVs, No dancing, No outdoor areas, backround music only. No patron access to theater",,40.729191900000004,-73.99250825286845
422,1283732,NEW YORK,RW,341,839353,4T USA INC,MI GARBA,129 4TH AVE,STORE 1,NEW YORK,NY,10003,03/26/2019,03/31/2021,RESTAURANT SERVING BEER AND WINE CIDER,"CB3 Stips M-Sa 11am-12am, Su 12pm-12am","Recorded Background Music Only, No Outside Areas",,40.733214450000006,-73.98960723816197
425,1305396,NEW YORK,L,222,882140,VILLAGE WINES & SPIRITS INC,VILLAGE WINE & SPIRIT SHOP,486A 6TH AVE,AKA 79 85 W 12TH ST,NEW YORK,NY,10011,11/07/2017,10/31/2020,LIQUOR STORE SELLING LIQUOR & WINE,,,,42.71169957142857,-73.71070942857143
427,1282438,NEW YORK,OP,252,899562,IBAO CORP,CHAI,930 8TH AVE,,NEW YORK,NY,10019,11/20/2018,11/30/2020,RESTAURANT SERVING LIQUOR BEER AND WINE CIDER,,Recorded music,,40.7654403,-73.9835817
449,1173618,NEW YORK,OP,252,895271,"BK RESTAURANT PARTNERS, LLC",PERA,303 MADISON AVE,41ST & 42ND STREETS,NEW YORK,NY,10165,09/17/2018,09/30/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",,,,40.7523353,-73.9793753
450,1314968,NEW YORK,OP,252,888597,TERRAVITA CORP,,4193 BROADWAY,STORE 3,NEW YORK,NY,10033,03/01/2019,02/28/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER     ",Mon-Thurs 8AM to 12AM and Fri-Sun 8AM to 2AM,"Recorded music and live 2-piece non-amplified jazz only, no dancing",,40.8480741,-73.9380293
458,1240605,NEW YORK,OP,252,895015,HORSEBOX INC,THE HORSEBOX,218 AVENUE A,13TH AND 14TH STREETS,NEW YORK,NY,10009,09/10/2018,09/30/2020,TAVERN SERVING BEER WINE AND LIQUOR CIDER,,,,40.72999145,-73.980407752441
460,1310521,NEW YORK,RW,341,830544,CHANGEN INC,MIYAKO,642 AMSTERDAM AVE,,NEW YORK,NY,10025,09/25/2018,08/31/2020,"RESTAURANT SERVING BEER, WINE & CIDER",,Recorded Background Music Only,,40.7911097,-73.9727374
471,1023330,NEW YORK,HL,242,898943,HYATT EQUITIES LLC,GRAND HYATT NEW YORK,109 E 42ND STREET,,NEW YORK,NY,10017,10/24/2018,10/31/2020,TAVERN RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,,Hotel,,40.65480042857143,-74.01411581632652
482,1177002,NEW YORK,OP,252,897581,GERASIMOS ENTERPRISES INC,KOYZINA GRILL,25 CEDAR ST,WILLIAM & MAIDEN,NEW YORK,NY,10005,09/25/2018,10/31/2020,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,,40.7071162,-74.0081489
484,1241262,NEW YORK,RW,341,841867,FNBS CORP,VINNY VINCENZ PIZZA,231 1ST AVENUE,,NEW YORK,NY,10003,01/21/2020,06/30/2021,RESTAURANT SERVING BEER CIDER & WINE,,,,40.7311222,-73.9829605
487,1024542,NEW YORK,OP,252,901636,CAPTAIN MIKES SEAFOOD REST INC,MUDVILLE 9,126 CHAMBERS STREET,,NEW YORK,NY,10007,02/07/2019,02/28/2021,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",,,,40.7152236,-74.0088979
490,1316904,NEW YORK,TW,344,904199,CITY DIY WORKSHOP LLC,AR WORKSHOP MANHATTAN,232 3RD AVE ,,NEW YORK,NY,10003,06/05/2019,05/31/2021,"BAR/TAVERN SERVING BEER, CIDER, AND WINE",,Recorded Music,,42.76290120787957,-73.68115630714712
491,1176096,NEW YORK,OP,252,893756,J B MAX INC,THE BOILER ROOM,86 E 4TH STREET,1ST AVENUE & 2ND AVENUE,NEW YORK,NY,10003,07/27/2018,07/31/2020,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",,,,40.7259905,-73.9892055
497,1314559,NEW YORK,OP,252,888614,EL JEFE EATERY GROUP INC,EL JEFE,186 DYCKMAN ST,,NEW YORK,NY,10040,03/06/2019,02/28/2021,"BAR SERVING LIQUOR,WINE, BEER AND CIDER",CB12 stip: Sun-Wed 12PM-2AM; Thur-Sat 12PM-3AM USE ID SCANNER; ,"CB Stip: Recorded music and DJ Only, Use ID scanner",,40.8644051,-73.9268547
510,1258257,NEW YORK,EB,141,896073,EDIBLE KITCHENS INC,BREAD & BUTTER,213 PARK AVE S,,NEW YORK,NY,10003,12/27/2017,12/31/2020,EATING PLACE SERVING BEER AND CIDER ONLY,,,,40.7367698,-73.9885841
521,1313281,NEW YORK,OP,252,888186,31 ORCHARD ST REALTY INC,JUKE BAR,301 E 12TH ST,,NEW YORK,NY,10003,11/13/2018,10/31/2020,"TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",CB#3 Stips: 5PM-4AM Mon-Fri; 12PM-4AM Sat & Sun,CB#3 Stips: Recorded/DJ Music. Live Music on Sunday b/t 5PM-10PM,,40.66708364516129,-73.98700367741935
531,1232110,NEW YORK,OP,252,905866,N Y RESTAURANT SUPPLIES INC,ANGEL'S SHARE & VILLAGE YOKOCHO,29 3RD AVE  2ND FL,3RD AVENUE & EAST 9TH STREET,NEW YORK,NY,10003,05/10/2019,05/31/2021,RESTAURANT SERVING LIQUOR WINE BEER CIDER,,"Recorded Music, No Dancing, Food Served",,0.0,0.0
534,1136801,NEW YORK,RW,341,839594,CARAL LTD,BROADWAY COMEDY CLUB,318 WEST 53RD ST,8TH & 9TH AVENUES,NEW YORK,NY,10019,04/18/2019,04/30/2021,TAVERN RESTAURANT SERVING WINE CIDER AND BEER,,Stand Up Comedy Club; Licensed Outdoor Cafe,,40.76435526530612,-73.98539865306122
548,1312826,NEW YORK,OP,252,888268,EMMANUEL NY CORP,HOMETOWN HOTPOT & BBQ,194 GRAND ST,,NEW YORK,NY,10013,12/05/2018,11/30/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",CB2 Stips: 12:00PM-12:00AM SUN-THUR; 12:00PM-1:00AM FRI/SAT,"CB2 Stips: Ambient recorded background music; No DJs, No Live Music or Promoter Events; No Dancing; No Sidewalk Cafe",,40.7194124,-73.9968282
558,1022249,NEW YORK,AX,122,893765,2676 7TH AVENUE GROCERY INC,,2626 7TH AVE,,NEW YORK,NY,10039,09/19/2017,09/30/2020,,,,,40.8257361,-73.9365192
592,1295897,NEW YORK,RW,341,838926,ESSEX PROJECT LLC,CHAR SUE,119 ESSEX ST,,NEW YORK,NY,10002,02/13/2019,02/28/2021,"RESTAURANT SERVING WINE, BEER AND CIDER","CB3 Stips: 7am to 12am to all days, All happy hours to end by 8pm and no unlimited drink specials","Recorded Music Permitted, No Dancing, Use of Outdoor Space is Prohibited ",,40.681703299999995,-73.8829759625
595,1268099,NEW YORK,OP,252,902043,BARRAGH CORP,MAGGIE REILLY'S ,340 9TH AVE,,NEW YORK,NY,10001,02/15/2019,02/28/2021,"BAR/TAVERN SERVING BEER, CIDER WINE AND LIQUOR  ",,No outdoor  yard area,,40.7504683,-73.9982081
596,1164701,NEW YORK,OP,252,906041,LA MELA RISTORANTE ITALIANO INC,,171 MULBERRY STREET,GRAND & BROOME STREET,NEW YORK,NY,10013,05/15/2019,05/31/2021,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,SIDEWALK CAFE PERMITTED FOR MULBERRY ST MALL/SAN GENNARO FEAST 2016 ONLY,,,40.7200616,-73.9972674
602,1132971,NEW YORK,OP,252,900125,POINT JUDITH LLC,MERMAID INN,96 2ND AVENUE ,,NEW YORK,NY,10003,12/12/2018,12/31/2020,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,,,40.7269881,-73.98840591825413
