,neighborhood,LAND_SF,YR_BUILT,YR_REMOD,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,GROSS_AREA,LIVING_AREA,U_INT_CND,AC_final,HEAT_TYP,Tax_Exempt,PPSQFT
0,Beacon Hill,797.3,1989.0,201.7,0.0,703850.0,703850.0,741857.9,797.3,797.3,797.3,1.3,1.0,5.0,0.0,870.2520176213526
0,Beacon Hill,856.2,1989.0,401.3,0.0,792610.0,792610.0,835410.9,856.2,856.2,856.2,2.0,1.0,5.0,0.0,915.7644810328727
0,Beacon Hill,1119.1,1989.0,402.2,0.0,1015750.0,1015750.0,1070600.5,1119.1,1119.1,1119.1,1.9,1.0,5.0,0.0,907.3081772838581
0,Beacon Hill,1164.4,1974.1,604.6,113410.0,3757750.0,3871160.0,1369010.5,1164.4,11197.8,10092.5,2.6,1.2,4.0,0.1,813.128292006022
0,Beacon Hill,2067.0,1888.7,2006.5,529312.7,2121517.7,2650830.4,3181850.3,2067.0,3288.5,2749.7,0.8,1.2,1.8,0.0,927.010878968941
0,Beacon Hill,2423.0,1884.7,2003.8,199150.0,2322664.0,2521814.0,2707868.3,2423.0,2504.8,2270.8,1.8,1.1,3.9,0.0,1225.9045923156189
0,Beacon Hill,3254.7,1701.4,2002.111111111111,750300.0,4503433.0,5253733.0,4692074.0,3254.7,5666.6,4982.9,1.2,1.4,3.7,0.1,inf
0,Beacon Hill,2026.9,1890.2,1998.6,353420.0,1861720.0,2215140.0,2423166.0,2026.9,2281.7,2046.7,1.5,1.1,1.4,0.0,1135.6971618521582
0,Beacon Hill,2204.9,1881.2,1994.5,1089170.0,2522117.6,3611287.6,4052880.8,2204.9,5810.6,4785.6,1.6,1.0,2.5,0.2,771.1346824278953
0,Beacon Hill,1507.6,1875.2,2001.0,614570.0,1789180.0,2403750.0,2533552.6,1507.6,2676.3,2308.0,2.0,0.8,4.6,0.0,965.3392132911875
0,Beacon Hill,1420.9,1867.2,1778.4444444444443,1026460.0,2301208.5,3327668.5,3507362.7,1420.9,3870.4,2995.3,1.3,0.7,5.3,0.0,933.1915146918267
